time_elapsed	system_time	year	month	day	seasonal_factor	treatment_coverage_0_1	treatment_coverage_0_10	population	sep	eir	sep	bsp_2_10	bsp_0_5	blood_slide_prevalence	sep	monthly_new_infection	sep	monthly_new_treatment	sep	monthly_clinical_episode	sep	monthly_ntf_raw	sep	KNY--C1x	KNY--C1X	KNY--C2x	KNY--C2X	KNY--Y1x	KNY--Y1X	KNY--Y2x	KNY--Y2X	KYY--C1x	KYY--C1X	KYY--C2x	KYY--C2X	KYY--Y1x	KYY--Y1X	KYY--Y2x	KYY--Y2X	KNF--C1x	KNF--C1X	KNF--C2x	KNF--C2X	KNF--Y1x	KNF--Y1X	KNF--Y2x	KNF--Y2X	KYF--C1x	KYF--C1X	KYF--C2x	KYF--C2X	KYF--Y1x	KYF--Y1X	KYF--Y2x	KYF--Y2X	KNYNYC1x	KNYNYC1X	KNYNYC2x	KNYNYC2X	KNYNYY1x	KNYNYY1X	KNYNYY2x	KNYNYY2X	KYYYYC1x	KYYYYC1X	KYYYYC2x	KYYYYC2X	KYYYYY1x	KYYYYY1X	KYYYYY2x	KYYYYY2X	KNFNFC1x	KNFNFC1X	KNFNFC2x	KNFNFC2X	KNFNFY1x	KNFNFY1X	KNFNFY2x	KNFNFY2X	KYFYFC1x	KYFYFC1X	KYFYFC2x	KYFYFC2X	KYFYFY1x	KYFYFY1X	KYFYFY2x	KYFYFY2X	TNY--C1x	TNY--C1X	TNY--C2x	TNY--C2X	TNY--Y1x	TNY--Y1X	TNY--Y2x	TNY--Y2X	TYY--C1x	TYY--C1X	TYY--C2x	TYY--C2X	TYY--Y1x	TYY--Y1X	TYY--Y2x	TYY--Y2X	TNF--C1x	TNF--C1X	TNF--C2x	TNF--C2X	TNF--Y1x	TNF--Y1X	TNF--Y2x	TNF--Y2X	TYF--C1x	TYF--C1X	TYF--C2x	TYF--C2X	TYF--Y1x	TYF--Y1X	TYF--Y2x	TYF--Y2X	TNYNYC1x	TNYNYC1X	TNYNYC2x	TNYNYC2X	TNYNYY1x	TNYNYY1X	TNYNYY2x	TNYNYY2X	TYYYYC1x	TYYYYC1X	TYYYYC2x	TYYYYC2X	TYYYYY1x	TYYYYY1X	TYYYYY2x	TYYYYY2X	TNFNFC1x	TNFNFC1X	TNFNFC2x	TNFNFC2X	TNFNFY1x	TNFNFY1X	TNFNFY2x	TNFNFY2X	TYFYFC1x	TYFYFC1X	TYFYFC2x	TYFYFC2X	TYFYFY1x	TYFYFY1X	TYFYFY2x	TYFYFY2X
0	1577836800	2020	01	01	1	0.5	0.5	1000000	-1111	0	-1111	3.45952	3.46384	3.4479	-1111	0	-1111	0	-1111	0	-1111	0	-1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.496572	0	0	0	0	0	0	0	0.503428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31	1580515200	2020	02	01	1	0.5	0.5	1000735	-1111	0	-1111	9.32098	9.18599	9.34163	-1111	73499	-1111	0	-1111	0	-1111	0	-1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.508371	0	0	0	0	0	0	0	0.491629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60	1583020800	2020	03	01	1	0.5	0.5	1001531	-1111	0	-1111	8.60122	8.51829	8.64496	-1111	140745	-1111	0	-1111	0	-1111	0	-1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.511147	0	0	0	0	0	0	0	0.488853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
91	1585699200	2020	04	01	1	0.5	0.5	1002370	-1111	0	-1111	10.8796	10.8729	10.7384	-1111	230420	-1111	0	-1111	0	-1111	0	-1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.514579	0	0	0	0	0	0	0	0.485421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	1588291200	2020	05	01	1	0.5	0.5	1003169	-1111	0	-1111	11.8757	11.85	11.6985	-1111	325091	-1111	0	-1111	0	-1111	0	-1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515351	0	0	0	0	0	0	0	0.484649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
152	1590969600	2020	06	01	1	0.5	0.5	1003874	-1111	0	-1111	12.8	12.8411	12.4836	-1111	429361	-1111	0	-1111	0	-1111	0	-1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.516848	0	0	0	0	0	0	0	0.483152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
182	1593561600	2020	07	01	1	0.5	0.5	1004588	-1111	0	-1111	13.1937	13.3114	12.6932	-1111	530562	-1111	0	-1111	0	-1111	0	-1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.520147	0	0	0	0	0	0	0	0.479853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
213	1596240000	2020	08	01	1	0.5	0.5	1005319	-1111	0	-1111	13.3204	13.4223	12.6454	-1111	634152	-1111	0	-1111	0	-1111	0	-1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.522656	0	0	0	0	0	0	0	0.477344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
244	1598918400	2020	09	01	1	0.5	0.5	1005990	-1111	0	-1111	12.9919	13.226	12.3028	-1111	734570	-1111	0	-1111	0	-1111	0	-1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.524087	0	0	0	0	0	0	0	0.475913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
274	1601510400	2020	10	01	1	0.5	0.5	1006752	-1111	0	-1111	12.6397	12.9592	11.7033	-1111	825281	-1111	0	-1111	0	-1111	0	-1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.524971	0	0	0	0	0	0	0	0.475029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
